X,Y,Z
3.52842,1.50251,28.6465
3.52256,1.47848,28.9516
3.51271,1.45203,29.2304
3.49897,1.42349,29.4786
3.48151,1.39324,29.6926
3.46052,1.3617,29.8693
3.43626,1.32933,30.0066
3.40904,1.2966,30.1032
3.3792,1.26398,30.1586
3.34709,1.23196,30.173
3.31312,1.20098,30.1473
3.27768,1.17149,30.0832
3.2412,1.14387,29.9829
3.20409,1.11848,29.849
3.16678,1.0956,29.6843
3.12967,1.07547,29.4921
3.09316,1.0583,29.2755
3.05764,1.0442,29.0379
3.02345,1.03324,28.7826
2.99095,1.02546,28.5128
2.96045,1.02082,28.2315
2.93223,1.01925,27.9415
2.90655,1.02066,27.6458
2.88362,1.02491,27.3468
2.86364,1.03183,27.0469
2.84676,1.04126,26.7484
2.8331,1.05299,26.4533
2.82274,1.06683,26.1637
2.81574,1.08259,25.8812
2.81211,1.10005,25.6077
2.81184,1.11902,25.3448
2.8149,1.13932,25.094
2.82122,1.16077,24.8569
2.83073,1.18319,24.6349
2.84331,1.20642,24.4295
2.85884,1.23031,24.242
2.87718,1.2547,24.0739
2.89818,1.27947,23.9266
2.92167,1.30445,23.8013
2.94745,1.32952,23.6995
2.97534,1.35453,23.6224
3.00512,1.37935,23.5714
3.03657,1.4038,23.5476
3.06944,1.42775,23.5521
3.10348,1.45101,23.586
3.13842,1.47341,23.6501
3.17397,1.49477,23.7452
3.20983,1.51487,23.8716
3.24567,1.53351,24.0296
3.28116,1.55047,24.219
3.31595,1.56551,24.4393
3.34969,1.57842,24.6894
3.382,1.58896,24.968
3.41252,1.5969,25.273
3.44088,1.60202,25.6017
3.46671,1.60414,25.9511
3.48967,1.60308,26.3172
3.50942,1.5987,26.6959
3.52567,1.59091,27.0822
3.53815,1.57965,27.4707
3.54664,1.56493,27.8559
3.55097,1.54682,28.232
3.55103,1.52545,28.593
3.54677,1.50102,28.9332
3.5382,1.4738,29.2472
3.52539,1.44412,29.5299
3.50847,1.41237,29.7772
3.48767,1.37899,29.9852
3.46321,1.34447,30.1514
3.43543,1.30932,30.2739
3.40466,1.27406,30.3517
3.37128,1.23921,30.3849
3.33572,1.20529,30.3742
3.29841,1.17279,30.3214
3.25979,1.14215,30.2285
3.2203,1.11376,30.0984
3.18041,1.08799,29.9342
3.14055,1.0651,29.7393
3.10115,1.04534,29.5172
3.06264,1.02884,29.2716
3.0254,1.01573,29.006
2.9898,1.00602,28.724
2.9562,0.999717,28.4289
2.92491,0.99675,28.1238
2.89621,0.997015,27.8117
2.87035,1.00037,27.4954
2.84756,1.00665,27.1774
2.828,1.01566,26.8602
2.81181,1.02719,26.5459
2.7991,1.04104,26.2366
2.78994,1.05697,25.9342
2.78436,1.07478,25.6404
2.78236,1.09424,25.357
2.7839,1.11516,25.0855
2.78894,1.13735,24.8276
2.79739,1.16061,24.5847
2.80914,1.18478,24.3582
2.82408,1.20969,24.1497
2.84206,1.2352,23.9606
2.86292,1.26115,23.7923
2.88651,1.28741,23.6462
2.91263,1.31383,23.5237
2.94108,1.34029,23.4264
2.97166,1.36662,23.3554
3.00414,1.3927,23.3123
3.03828,1.41835,23.2983
3.07382,1.44343,23.3145
3.11048,1.46774,23.3622
3.148,1.49109,23.4423
3.18604,1.51329,23.5554
3.22429,1.53412,23.7021
3.2624,1.55335,23.8826
3.30002,1.57073,24.0966
3.33678,1.58602,24.3435
3.37227,1.59897,24.6222
3.40611,1.60932,24.931
3.4379,1.61682,25.2676
3.46724,1.62125,25.629
3.49374,1.6224,26.0115
3.51704,1.62006,26.4109
3.53677,1.61411,26.8222
3.55263,1.60445,27.2399
3.56435,1.59102,27.658
3.5717,1.57387,28.0703
3.57452,1.55307,28.4703
3.5727,1.52879,28.8514
3.56623,1.50128,29.2076
3.55512,1.47086,29.5328
3.53951,1.43791,29.8219
3.51957,1.40289,30.0705
3.49553,1.3663,30.275
3.46771,1.32869,30.4328
3.43646,1.29063,30.5424
3.40219,1.25269,30.6034
3.36531,1.21545,30.6163
3.32629,1.17947,30.5824
3.2856,1.14525,30.5041
3.24373,1.11326,30.384
3.20116,1.08392,30.2256
3.15837,1.05757,30.0324
3.11582,1.03448,29.8085
3.07398,1.01487,29.5577
3.03327,0.998857,29.284
2.99411,0.986522,28.9913
2.95688,0.977871,28.6832
2.92194,0.972853,28.3633
2.8896,0.971371,28.0347
2.86016,0.973281,27.7006
2.83385,0.978409,27.3637
