time,X,Y,Z
3.03,-5.11538,-4.78049,23.7974
3.04,-5.08016,-4.94851,23.4054
3.05,-5.06631,-5.13336,23.0308
3.06,-5.07336,-5.33478,22.6749
3.07,-5.10086,-5.55269,22.3392
3.08,-5.14838,-5.78708,22.0252
3.09,-5.21555,-6.03806,21.7343
3.1,-5.30205,-6.30581,21.4683
3.11,-5.40762,-6.59048,21.229
3.12,-5.53202,-6.89223,21.0182
3.13,-5.67508,-7.21114,20.8381
3.14,-5.83663,-7.54715,20.6909
3.15,-6.01652,-7.90004,20.5791
3.16,-6.21461,-8.26936,20.5053
3.17,-6.43071,-8.65436,20.4722
3.18,-6.66458,-9.0539,20.4829
3.19,-6.91586,-9.4664,20.5404
3.2,-7.1841,-9.88975,20.6478
3.21,-7.46866,-10.3212,20.8085
3.22,-7.76866,-10.7573,21.0256
3.23,-8.08298,-11.1937,21.302
3.24,-8.41013,-11.6253,21.6404
3.25,-8.74827,-12.046,22.043
3.26,-9.0951,-12.4487,22.5114
3.27,-9.4478,-12.8253,23.0459
3.28,-9.80301,-13.1668,23.6461
3.29,-10.1568,-13.4634,24.3096
3.3,-10.5045,-13.7048,25.0324
3.31,-10.8411,-13.8804,25.8084
3.32,-11.1608,-13.9797,26.629
3.33,-11.4572,-13.9929,27.4834
3.34,-11.7239,-13.9118,28.3581
3.35,-11.954,-13.7298,29.2373
3.36,-12.1408,-13.4432,30.1032
3.37,-12.2777,-13.0514,30.9367
3.38,-12.3591,-12.5579,31.718
3.39,-12.38,-11.9699,32.4278
3.4,-12.3369,-11.2986,33.048
3.41,-12.2277,-10.5592,33.5632
3.42,-12.0522,-9.76941,33.9613
3.43,-11.8121,-8.94915,34.2345
3.44,-11.511,-8.11909,34.3794
3.45,-11.1543,-7.29947,34.3973
3.46,-10.7489,-6.50896,34.2937
3.47,-10.303,-5.76365,34.0778
3.48,-9.82556,-5.07639,33.7613
3.49,-9.32608,-4.45645,33.3577
3.5,-8.81394,-3.90949,32.8814
3.51,-8.29814,-3.4378,32.3465
3.52,-7.78697,-3.04076,31.7663
3.53,-7.28781,-2.71544,31.1529
3.54,-6.80693,-2.45722,30.5169
3.55,-6.34947,-2.26034,29.8671
3.56,-5.91941,-2.11848,29.2109
3.57,-5.51966,-2.02515,28.5541
3.58,-5.15214,-1.97405,27.9012
3.59,-4.8179,-1.95933,27.2556
3.6,-4.51726,-1.97568,26.62
3.61,-4.24996,-2.01848,25.9963
3.62,-4.01527,-2.08377,25.3858
3.63,-3.81214,-2.16833,24.7895
3.64,-3.63926,-2.26954,24.2082
3.65,-3.4952,-2.38541,23.6425
3.66,-3.37848,-2.51451,23.0926
3.67,-3.28762,-2.65586,22.5591
3.68,-3.22118,-2.80894,22.0423
3.69,-3.17782,-2.97358,21.5425
3.7,-3.15634,-3.14994,21.0601
3.71,-3.15567,-3.33843,20.5956
3.72,-3.17489,-3.5397,20.1495
3.73,-3.21326,-3.75462,19.7224
3.74,-3.27019,-3.9842,19.3151
3.75,-3.34529,-4.2296,18.9284
3.76,-3.43829,-4.49209,18.5633
3.77,-3.54912,-4.77303,18.221
3.78,-3.67784,-5.07387,17.9029
