time,angle,x,y
6.9,-0.665648,-0.617569,-0.786517
6.92,-0.562375,-0.533197,-0.845991
6.94,-0.433549,-0.420094,-0.907481
6.96,-0.28459,-0.280764,-0.959777
6.98,-0.122176,-0.121873,-0.992546
7,0.0460783,0.046062,-0.998939
7.02,0.212125,0.210538,-0.977586
7.04,0.368083,0.359827,-0.933019
7.06,0.506796,0.485378,-0.874304
7.08,0.622247,0.582863,-0.812571
7.1,0.709766,0.651656,-0.758514
7.12,0.766054,0.693297,-0.720652
7.14,0.789117,0.709732,-0.704472
7.16,0.778167,0.701975,-0.712201
7.18,0.733576,0.66953,-0.742785
7.2,0.656897,0.610663,-0.791891
7.22,0.550954,0.5235,-0.852026
7.24,0.419922,0.407689,-0.913121
7.26,0.269352,0.266107,-0.963944
7.28,0.106029,0.105831,-0.994384
7.3,-0.0623655,-0.062325,-0.998056
7.32,-0.227773,-0.225809,-0.974172
7.34,-0.382359,-0.373111,-0.927787
7.36,-0.519065,-0.496068,-0.868284
7.38,-0.631996,-0.590757,-0.80685
7.4,-0.716616,-0.656837,-0.754033
7.42,-0.769758,-0.695962,-0.718079
7.44,-0.789547,-0.710034,-0.704167
7.46,-0.775308,-0.699936,-0.714206
7.48,-0.727525,-0.665023,-0.746822
7.5,-0.647872,-0.603491,-0.79737
7.52,-0.539297,-0.513533,-0.85807
7.54,-0.406111,-0.39504,-0.918664
7.56,-0.253994,-0.251272,-0.967917
7.58,-0.0898344,-0.0897136,-0.995968
7.6,0.0786245,0.0785435,-0.996911
7.62,0.243319,0.240925,-0.970544
7.64,0.396468,0.386163,-0.922431
7.66,0.53111,0.506491,-0.862245
7.68,0.641479,0.598381,-0.801212
7.7,0.723171,0.661766,-0.749711
7.72,0.773149,0.698393,-0.715715
7.74,0.789657,0.710112,-0.704089
7.76,0.772134,0.697666,-0.716424
7.78,0.721176,0.660268,-0.75103
7.8,0.638575,0.596052,-0.802946
7.82,0.527409,0.503296,-0.864114
7.84,0.392122,0.382151,-0.9241
7.86,0.238522,0.236267,-0.971688
7.88,0.0735991,0.0735327,-0.997293
7.9,-0.094848,-0.0947059,-0.995505
7.92,-0.258756,-0.255879,-0.966709
7.94,-0.410402,-0.398978,-0.91696
