time,angle,x,y
7.16,-0.726739,-0.664436,-0.747345
7.18,-0.743254,-0.676687,-0.736271
7.2,-0.757113,-0.686826,-0.726822
7.22,-0.768277,-0.694897,-0.719109
7.24,-0.776714,-0.70094,-0.713221
7.26,-0.782401,-0.704984,-0.709223
7.28,-0.785321,-0.707052,-0.707161
7.3,-0.785467,-0.707156,-0.707058
7.32,-0.782838,-0.705294,-0.708915
7.34,-0.777442,-0.701458,-0.71271
7.36,-0.769293,-0.695627,-0.718403
7.38,-0.758414,-0.687771,-0.725928
7.4,-0.744837,-0.677852,-0.735199
7.42,-0.728599,-0.665825,-0.746108
7.44,-0.709749,-0.651643,-0.758525
7.46,-0.688342,-0.635258,-0.7723
7.48,-0.664442,-0.61662,-0.787261
7.5,-0.638122,-0.595688,-0.803216
7.52,-0.609466,-0.572429,-0.819954
7.54,-0.578562,-0.546821,-0.83725
7.56,-0.545513,-0.518857,-0.854861
7.58,-0.510428,-0.488551,-0.872535
7.6,-0.473426,-0.455939,-0.890011
7.62,-0.434635,-0.42108,-0.907024
7.64,-0.394192,-0.384062,-0.923307
7.66,-0.352241,-0.345002,-0.938602
7.68,-0.308937,-0.304046,-0.952657
7.7,-0.26444,-0.261369,-0.965239
7.72,-0.218917,-0.217172,-0.976133
7.74,-0.172542,-0.171687,-0.985152
7.76,-0.125493,-0.125164,-0.992136
7.78,-0.0779529,-0.077874,-0.996963
7.8,-0.0301073,-0.0301028,-0.999547
7.82,0.0178564,0.0178554,-0.999841
7.84,0.06575,0.0657026,-0.997839
7.86,0.113386,0.113143,-0.993579
7.88,0.160578,0.159888,-0.987135
7.9,0.207142,0.205664,-0.978623
7.92,0.252899,0.250212,-0.968191
7.94,0.297675,0.293298,-0.956021
7.96,0.3413,0.334712,-0.94232
7.98,0.383611,0.374271,-0.927319
8,0.424454,0.411823,-0.911264
8.02,0.46368,0.447243,-0.894413
8.04,0.501152,0.480436,-0.87703
8.06,0.536738,0.511336,-0.859381
8.08,0.570318,0.5399,-0.841729
8.1,0.60178,0.56611,-0.82433
8.12,0.631019,0.589968,-0.807426
8.14,0.657944,0.611492,-0.791251
8.16,0.68247,0.630712,-0.776017
8.18,0.70452,0.647668,-0.761922
8.2,0.724029,0.662409,-0.749143
8.22,0.740939,0.674981,-0.737835
8.24,0.7552,0.685435,-0.728134
8.26,0.766772,0.693814,-0.720154
8.28,0.775621,0.700159,-0.713987
8.3,0.781722,0.704503,-0.709701
8.32,0.785059,0.706867,-0.707346
8.34,0.785623,0.707266,-0.706948
8.36,0.783411,0.7057,-0.708511
8.38,0.77843,0.702162,-0.712017
8.4,0.770693,0.696633,-0.717428
8.42,0.760223,0.689083,-0.724682
8.44,0.747049,0.679477,-0.733697
8.46,0.731209,0.66777,-0.744368
8.48,0.712748,0.653915,-0.756568
8.5,0.691722,0.637864,-0.770149
8.52,0.668192,0.619568,-0.784943
8.54,0.642232,0.598984,-0.800761
8.56,0.61392,0.576076,-0.817396
8.58,0.583349,0.550822,-0.834623
8.6,0.550616,0.523212,-0.852203
8.62,0.51583,0.493257,-0.869884
8.64,0.479108,0.460988,-0.887407
8.66,0.440577,0.426462,-0.904506
8.68,0.400373,0.389762,-0.920916
8.7,0.35864,0.351001,-0.936375
8.72,0.315529,0.310319,-0.950632
8.74,0.2712,0.267888,-0.96345
8.76,0.225821,0.223906,-0.974611
8.78,0.179562,0.178599,-0.983922
8.8,0.132603,0.132215,-0.991221
8.82,0.0851254,0.0850226,-0.996379
8.84,0.0373139,0.0373052,-0.999304
8.86,-0.0106441,-0.0106439,-0.999943
8.88,-0.0585603,-0.0585268,-0.998286
8.9,-0.106247,-0.106047,-0.994361
8.92,-0.153517,-0.152915,-0.988239
8.94,-0.200188,-0.198853,-0.980029
8.96,-0.246078,-0.243602,-0.969875
8.98,-0.291012,-0.286922,-0.957954
9,-0.33482,-0.328599,-0.944469
9.02,-0.377339,-0.368448,-0.929648
9.04,-0.418412,-0.40631,-0.913735
9.06,-0.457891,-0.442057,-0.896987
9.08,-0.495635,-0.47559,-0.879667
9.1,-0.531513,-0.506838,-0.862041
9.12,-0.565402,-0.535755,-0.844374
9.14,-0.597188,-0.56232,-0.82692
9.16,-0.626768,-0.586531,-0.809927
9.18,-0.654047,-0.608403,-0.793628
9.2,-0.678938,-0.627967,-0.77824
9.22,-0.701365,-0.645261,-0.763962
9.24,-0.721261,-0.660332,-0.750974
9.26,-0.738565,-0.673227,-0.739436
9.28,-0.753227,-0.683996,-0.729486
9.3,-0.765205,-0.692685,-0.72124
9.32,-0.774465,-0.699334,-0.714795
9.34,-0.780981,-0.703977,-0.710223
9.36,-0.784735,-0.706637,-0.707576
9.38,-0.785715,-0.707331,-0.706882
9.4,-0.78392,-0.706061,-0.708151
9.42,-0.779355,-0.702821,-0.711367
9.44,-0.772032,-0.697592,-0.716495
9.46,-0.761971,-0.690349,-0.723477
9.48,-0.749201,-0.681054,-0.732233
9.5,-0.733759,-0.669666,-0.742662
9.52,-0.715689,-0.656138,-0.754641
9.54,-0.695045,-0.64042,-0.768025
9.56,-0.671887,-0.622464,-0.782648
9.58,-0.646287,-0.602227,-0.798325
9.6,-0.618324,-0.57967,-0.814851
9.62,-0.588086,-0.55477,-0.832004
9.64,-0.555672,-0.527514,-0.849546
9.66,-0.521187,-0.49791,-0.867229
9.68,-0.484748,-0.465986,-0.884792
9.7,-0.446481,-0.431794,-0.901972
9.72,-0.40652,-0.395415,-0.918502
9.74,-0.365007,-0.356956,-0.934121
9.76,-0.322093,-0.316553,-0.948575
9.78,-0.277937,-0.274373,-0.961623
9.8,-0.232705,-0.23061,-0.973046
9.82,-0.186567,-0.185487,-0.982647
9.84,-0.139702,-0.139248,-0.990258
9.86,-0.0922904,-0.0921594,-0.995744
9.88,-0.0445171,-0.0445024,-0.999009
9.9,0.00343087,0.00343086,-0.999994
9.92,0.0513653,0.0513428,-0.998681
9.94,0.0990983,0.0989362,-0.995094
9.96,0.146443,0.14592,-0.989296
9.98,0.193215,0.192015,-0.981392
